Length,Diameter,Height,ShuckedWeight,VisceraWeight,ShellWeight,WholeWeight,NumRings,Sex
0.455,0.365,0.095,0.2245,0.101,0.15,0.514,15,M
0.35,0.265,0.09,0.0995,0.0485,0.07,0.2255,7,M
0.53,0.42,0.135,0.2565,0.1415,0.21,0.677,9,F
0.44,0.365,0.125,0.2155,0.114,0.155,0.516,10,F
0.33,0.255,0.08,0.0895,0.0395,0.055,0.205,7,I
0.425,0.3,0.095,0.141,0.0775,0.12,0.3515,8,I
0.53,0.415,0.15,0.237,0.1415,0.33,0.7775,20,F
0.545,0.425,0.125,0.294,0.1495,0.26,0.768,16,F
0.475,0.37,0.125,0.2165,0.1125,0.165,0.5095,9,M
0.55,0.44,0.15,0.3145,0.151,0.32,0.8945,19,F
0.525,0.38,0.14,0.194,0.1475,0.21,0.6065,14,F
0.43,0.35,0.11,0.1675,0.081,0.135,0.406,10,M
0.49,0.38,0.135,0.2175,0.095,0.19,0.5415,11,M
0.535,0.405,0.145,0.2725,0.171,0.205,0.6845,10,F
0.47,0.355,0.1,0.1675,0.0805,0.185,0.4755,10,F
0.5,0.4,0.13,0.258,0.133,0.24,0.6645,12,M
0.355,0.28,0.085,0.095,0.0395,0.115,0.2905,7,I
0.44,0.34,0.1,0.188,0.087,0.13,0.451,10,F
0.365,0.295,0.08,0.097,0.043,0.1,0.2555,7,M
0.45,0.32,0.1,0.1705,0.075,0.115,0.381,9,M
0.355,0.28,0.095,0.0955,0.062,0.075,0.2455,11,M
0.38,0.275,0.1,0.08,0.049,0.085,0.2255,10,I
0.565,0.44,0.155,0.4275,0.214,0.27,0.9395,12,F
0.55,0.415,0.135,0.318,0.21,0.2,0.7635,9,F
0.615,0.48,0.165,0.513,0.301,0.305,1.1615,10,F
0.56,0.44,0.14,0.3825,0.188,0.3,0.9285,11,F
0.58,0.45,0.185,0.3945,0.272,0.285,0.9955,11,F
0.59,0.445,0.14,0.356,0.234,0.28,0.931,12,M
0.605,0.475,0.18,0.394,0.219,0.295,0.9365,15,M
0.575,0.425,0.14,0.393,0.227,0.2,0.8635,11,M
0.58,0.47,0.165,0.3935,0.242,0.33,0.9975,10,M
0.68,0.56,0.165,0.6055,0.2805,0.46,1.639,15,F
0.665,0.525,0.165,0.5515,0.3575,0.35,1.338,18,M
0.68,0.55,0.175,0.815,0.3925,0.455,1.798,19,F
0.705,0.55,0.2,0.633,0.4115,0.49,1.7095,13,F
0.465,0.355,0.105,0.227,0.124,0.125,0.4795,8,M
0.54,0.475,0.155,0.5305,0.3075,0.34,1.217,16,F
0.45,0.355,0.105,0.237,0.1165,0.145,0.5225,8,F
0.575,0.445,0.135,0.381,0.2035,0.26,0.883,11,F
0.355,0.29,0.09,0.134,0.086,0.09,0.3275,9,M
0.45,0.335,0.105,0.1865,0.091,0.115,0.425,9,F
0.55,0.425,0.135,0.362,0.196,0.27,0.8515,14,F
0.24,0.175,0.045,0.0315,0.0235,0.02,0.07,5,I
0.205,0.15,0.055,0.0255,0.015,0.012,0.042,5,I
0.21,0.15,0.05,0.0175,0.0125,0.015,0.042,4,I
0.39,0.295,0.095,0.0875,0.045,0.075,0.203,7,I
0.47,0.37,0.12,0.293,0.227,0.14,0.5795,9,M
0.46,0.375,0.12,0.1775,0.11,0.15,0.4605,7,F
0.325,0.245,0.07,0.0755,0.0255,0.045,0.161,6,I
0.525,0.425,0.16,0.3545,0.2135,0.245,0.8355,9,F
0.52,0.41,0.12,0.2385,0.111,0.19,0.595,8,I
0.4,0.32,0.095,0.1335,0.06,0.1,0.303,7,M
0.485,0.36,0.13,0.2595,0.096,0.16,0.5415,10,M
0.47,0.36,0.12,0.2105,0.1055,0.15,0.4775,10,F
0.405,0.31,0.1,0.173,0.0915,0.11,0.385,7,M
0.5,0.4,0.14,0.2565,0.1755,0.22,0.6615,8,F
0.445,0.35,0.12,0.192,0.0955,0.135,0.4425,8,M
0.47,0.385,0.135,0.2765,0.12,0.17,0.5895,8,M
0.245,0.19,0.06,0.042,0.014,0.025,0.086,4,I
0.505,0.4,0.125,0.246,0.13,0.175,0.583,7,F
0.45,0.345,0.105,0.18,0.1125,0.135,0.4115,7,M
0.505,0.405,0.11,0.305,0.16,0.175,0.625,9,M
0.53,0.41,0.13,0.302,0.1935,0.2,0.6965,10,F
0.425,0.325,0.095,0.1705,0.08,0.1,0.3785,7,M
0.52,0.4,0.12,0.234,0.1315,0.185,0.58,8,M
0.475,0.355,0.12,0.234,0.1015,0.135,0.48,8,M
0.565,0.44,0.16,0.354,0.1935,0.32,0.915,12,F
0.595,0.495,0.185,0.416,0.224,0.485,1.285,13,F
0.475,0.39,0.12,0.2135,0.1155,0.17,0.5305,10,F
0.31,0.235,0.07,0.063,0.0405,0.045,0.151,6,I
0.555,0.425,0.13,0.264,0.168,0.275,0.7665,13,M
0.4,0.32,0.11,0.1405,0.0985,0.1,0.353,8,F
0.595,0.475,0.17,0.48,0.225,0.425,1.247,20,F
0.57,0.48,0.175,0.474,0.261,0.38,1.185,11,M
0.605,0.45,0.195,0.481,0.2895,0.315,1.098,13,F
0.6,0.475,0.15,0.4425,0.221,0.28,1.0075,15,F
0.595,0.475,0.14,0.3625,0.189,0.315,0.944,9,M
0.6,0.47,0.15,0.363,0.194,0.305,0.922,10,F
0.555,0.425,0.14,0.282,0.1595,0.285,0.788,11,F
0.615,0.475,0.17,0.4695,0.2355,0.345,1.1025,14,F
0.575,0.445,0.14,0.3845,0.252,0.285,0.941,9,F
0.62,0.51,0.175,0.5105,0.192,0.675,1.615,12,M
0.52,0.425,0.165,0.396,0.225,0.32,0.9885,16,F
0.595,0.475,0.16,0.408,0.234,0.58,1.3175,21,M
0.58,0.45,0.14,0.38,0.216,0.36,1.013,14,M
0.57,0.465,0.18,0.339,0.2225,0.44,1.295,12,F
0.625,0.465,0.14,0.4825,0.205,0.4,1.195,13,M
0.56,0.44,0.16,0.3305,0.2075,0.26,0.8645,10,M
0.46,0.355,0.13,0.2205,0.114,0.165,0.517,9,F
0.575,0.45,0.16,0.3135,0.231,0.33,0.9775,12,F
0.565,0.425,0.135,0.341,0.1675,0.255,0.8115,15,M
0.555,0.44,0.15,0.307,0.1525,0.26,0.755,12,M
0.595,0.465,0.175,0.4015,0.254,0.39,1.115,13,M
0.625,0.495,0.165,0.507,0.318,0.39,1.262,10,F
0.695,0.56,0.19,0.588,0.3425,0.485,1.494,15,M
0.665,0.535,0.195,0.5755,0.388,0.48,1.606,14,M
0.535,0.435,0.15,0.269,0.1385,0.25,0.725,9,M
0.47,0.375,0.13,0.214,0.132,0.145,0.523,8,M
0.47,0.37,0.13,0.201,0.133,0.165,0.5225,7,M
0.475,0.375,0.125,0.2775,0.085,0.155,0.5785,10,F
0.36,0.265,0.095,0.105,0.046,0.075,0.2315,7,I
0.55,0.435,0.145,0.328,0.1915,0.255,0.843,15,M
0.53,0.435,0.16,0.316,0.164,0.335,0.883,15,M
0.53,0.415,0.14,0.3105,0.1675,0.205,0.724,10,M
0.605,0.47,0.16,0.4975,0.2405,0.345,1.1735,12,M
0.52,0.41,0.155,0.291,0.1835,0.235,0.727,12,F
0.545,0.43,0.165,0.2935,0.183,0.28,0.802,11,F
0.5,0.4,0.125,0.261,0.1315,0.22,0.6675,10,F
0.51,0.39,0.135,0.231,0.179,0.2,0.6335,9,F
0.435,0.395,0.105,0.136,0.098,0.13,0.3635,9,F
0.495,0.395,0.125,0.2375,0.1345,0.155,0.5415,9,M
0.465,0.36,0.105,0.172,0.107,0.175,0.431,9,M
0.435,0.32,0.08,0.1485,0.0635,0.105,0.3325,9,I
0.425,0.35,0.105,0.13,0.063,0.165,0.393,9,M
0.545,0.41,0.125,0.2975,0.146,0.21,0.6935,11,F
0.53,0.415,0.115,0.233,0.1585,0.18,0.5915,11,F
0.49,0.375,0.135,0.2555,0.102,0.22,0.6125,11,F
0.44,0.34,0.105,0.1305,0.0955,0.165,0.402,10,M
0.56,0.43,0.15,0.3465,0.172,0.31,0.8825,9,F
0.405,0.305,0.085,0.1145,0.0595,0.085,0.2605,8,M
0.47,0.365,0.105,0.163,0.1035,0.14,0.4205,9,F
0.385,0.295,0.085,0.103,0.0575,0.085,0.2535,7,I
0.515,0.425,0.14,0.304,0.1725,0.255,0.766,14,F
0.37,0.265,0.075,0.09,0.051,0.07,0.214,6,M
0.36,0.28,0.08,0.081,0.0505,0.07,0.1755,6,I
0.27,0.195,0.06,0.0285,0.0235,0.03,0.073,5,I
0.375,0.275,0.09,0.1075,0.0545,0.07,0.238,6,I
0.385,0.29,0.085,0.112,0.061,0.08,0.2505,8,I
0.7,0.535,0.16,0.63,0.2635,0.54,1.7255,19,M
