datesold,price,propertyType,bedrooms
2/7/07 0:00,525000,house,4
2/27/07 0:00,290000,house,3
3/7/07 0:00,328000,house,3
3/9/07 0:00,380000,house,4
3/21/07 0:00,310000,house,3
4/4/07 0:00,465000,house,4
4/24/07 0:00,399000,house,3
4/30/07 0:00,1530000,house,4
5/24/07 0:00,359000,house,3
5/25/07 0:00,320000,house,3
6/26/07 0:00,385000,house,3
6/27/07 0:00,305000,house,3
6/27/07 0:00,850000,house,4
6/28/07 0:00,765000,house,4
6/30/07 0:00,517000,house,4
7/2/07 0:00,800000,house,5
7/3/07 0:00,336000,house,3
7/6/07 0:00,535000,house,5
7/7/07 0:00,900000,house,4
7/8/07 0:00,327000,house,1
7/12/07 0:00,427500,house,3
7/13/07 0:00,780000,house,3
7/18/07 0:00,530000,house,3
7/18/07 0:00,590000,,3
7/20/07 0:00,525000,house,3
7/20/07 0:00,549000,house,4
7/21/07 0:00,1780000,house,4
7/30/07 0:00,446000,house,3
7/30/07 0:00,558000,house,4
7/31/07 0:00,506000,house,3
7/31/07 0:00,520000,house,4
8/3/07 0:00,383000,house,3
8/3/07 0:00,520000,house,3
8/7/07 0:00,815000,house,5
8/10/07 0:00,545500,house,3
8/10/07 0:00,760000,house,3
8/11/07 0:00,520000,house,3
8/11/07 0:00,636000,house,3
8/14/07 0:00,625000,house,4
8/16/07 0:00,790000,house,4
8/21/07 0:00,320000,house,3
8/21/07 0:00,418000,house,5
8/21/07 0:00,455000,house,4
8/23/07 0:00,560000,house,4
8/24/07 0:00,585000,house,4
8/28/07 0:00,325000,house,2
8/28/07 0:00,420000,house,4
8/29/07 0:00,599000,house,3
8/30/07 0:00,315000,house,2
8/30/07 0:00,367000,house,3
8/31/07 0:00,348000,house,3
8/31/07 0:00,532500,house,4
9/3/07 0:00,465000,house,3
9/4/07 0:00,820000,house,4
9/6/07 0:00,590000,house,3
9/11/07 0:00,559000,house,4
9/15/07 0:00,446000,house,4
9/18/07 0:00,470000,house,3
9/20/07 0:00,396500,house,4
9/20/07 0:00,479000,house,3
9/21/07 0:00,1460000,house,5
9/22/07 0:00,500000,house,4
9/22/07 0:00,506000,house,4
9/22/07 0:00,520000,house,4
9/24/07 0:00,920000,house,4
9/27/07 0:00,507000,house,4
10/2/07 0:00,475000,house,3
10/9/07 0:00,397000,house,3
10/10/07 0:00,556000,house,3
10/12/07 0:00,447000,house,4
10/12/07 0:00,720000,house,4
10/15/07 0:00,273000,house,1
10/16/07 0:00,368000,house,3
10/16/07 0:00,385000,house,3
10/17/07 0:00,560000,house,5
10/19/07 0:00,455000,house,4
10/19/07 0:00,480000,house,4
10/24/07 0:00,300500,house,3
10/24/07 0:00,505000,house,3
10/25/07 0:00,135500,house,1
10/25/07 0:00,590000,house,4
10/25/07 0:00,645000,house,5
10/25/07 0:00,770000,house,4
10/26/07 0:00,1100000,house,5
11/2/07 0:00,365000,house,3
11/2/07 0:00,612500,house,4
11/5/07 0:00,472500,house,4
11/5/07 0:00,600000,house,5
11/7/07 0:00,372500,house,3
11/8/07 0:00,395000,house,3
11/8/07 0:00,497000,house,2
11/8/07 0:00,595000,house,4
11/12/07 0:00,465000,house,2
11/12/07 0:00,505000,house,4
11/16/07 0:00,379000,house,3
11/16/07 0:00,505000,house,3
11/17/07 0:00,380000,house,3
11/17/07 0:00,655000,house,4
11/17/07 0:00,760000,house,3
11/17/07 0:00,760500,house,3
11/20/07 0:00,442500,house,4
11/22/07 0:00,560000,house,4
11/23/07 0:00,560000,house,4
11/24/07 0:00,335000,house,3
11/24/07 0:00,575000,house,3
11/27/07 0:00,439000,house,3
11/29/07 0:00,308000,house,1
11/29/07 0:00,353000,house,3
11/30/07 0:00,425000,house,3
11/30/07 0:00,825000,house,3
12/1/07 0:00,930000,house,5
12/3/07 0:00,365000,house,3
12/3/07 0:00,387000,house,3
12/4/07 0:00,620000,house,4
12/5/07 0:00,825000,house,3
12/6/07 0:00,335000,house,3
12/7/07 0:00,350000,house,3
12/8/07 0:00,421000,house,3
12/8/07 0:00,545000,house,4
12/12/07 0:00,635000,house,4
12/13/07 0:00,357500,house,3
12/13/07 0:00,400000,house,4
12/13/07 0:00,1105000,house,4
12/14/07 0:00,259000,house,2
12/14/07 0:00,437500,house,3
12/15/07 0:00,530000,house,4
12/19/07 0:00,630000,house,3
12/20/07 0:00,615000,house,4
12/21/07 0:00,332000,house,3
12/21/07 0:00,490000,house,3
1/2/08 0:00,309000,house,2
1/14/08 0:00,413000,house,3
1/15/08 0:00,445000,house,4
1/15/08 0:00,600000,house,4
1/17/08 0:00,417500,house,2
1/17/08 0:00,462500,house,4
1/17/08 0:00,485000,house,4
1/18/08 0:00,580000,house,4
1/23/08 0:00,380000,house,1
1/24/08 0:00,560000,house,4
1/24/08 0:00,575000,house,4
1/24/08 0:00,1035000,house,4
1/30/08 0:00,485000,house,3
2/1/08 0:00,599000,house,4
2/4/08 0:00,349000,house,3
2/7/08 0:00,360000,house,3
2/7/08 0:00,375000,house,3
2/7/08 0:00,405000,house,3
2/8/08 0:00,395000,house,3
2/9/08 0:00,417000,house,3
2/9/08 0:00,560000,house,3
2/9/08 0:00,650000,house,4
2/11/08 0:00,416000,house,4
2/12/08 0:00,749000,house,4
2/15/08 0:00,575000,house,4
2/15/08 0:00,625000,house,3
2/16/08 0:00,610000,house,5
2/19/08 0:00,445000,house,4
2/21/08 0:00,655000,house,5
2/23/08 0:00,500000,house,4
2/23/08 0:00,515000,house,2
2/23/08 0:00,811000,house,5
2/27/08 0:00,590000,house,4
2/27/08 0:00,645000,house,5
2/27/08 0:00,730000,house,4
2/29/08 0:00,342000,house,3
2/29/08 0:00,471000,house,4
2/29/08 0:00,488000,house,3
3/13/08 0:00,646000,house,4
3/14/08 0:00,655000,house,4
3/15/08 0:00,580000,house,3
3/19/08 0:00,405000,house,3
3/20/08 0:00,695000,house,4
4/9/08 0:00,420000,house,4
4/9/08 0:00,503000,house,3
4/10/08 0:00,380000,house,3
4/11/08 0:00,334000,house,3
4/11/08 0:00,395000,house,3
4/11/08 0:00,467500,house,4
4/14/08 0:00,522500,house,3
4/14/08 0:00,635000,house,5
4/14/08 0:00,690000,house,4
4/14/08 0:00,780000,house,4
4/15/08 0:00,679000,house,5
4/18/08 0:00,467000,house,3
4/21/08 0:00,649000,house,5
4/22/08 0:00,675000,house,4
4/23/08 0:00,415000,house,3
4/23/08 0:00,445000,house,4
4/24/08 0:00,292500,house,1
4/24/08 0:00,450000,house,3
4/29/08 0:00,680000,house,4
4/29/08 0:00,950000,house,4
4/30/08 0:00,485000,house,3
5/1/08 0:00,640000,house,4
5/2/08 0:00,332000,house,2
5/2/08 0:00,622500,house,4
5/2/08 0:00,775000,house,4
5/5/08 0:00,575000,house,2
5/5/08 0:00,690000,house,3
5/9/08 0:00,465000,house,3
5/12/08 0:00,635000,house,5
5/13/08 0:00,307000,house,2
5/14/08 0:00,450000,house,3
5/16/08 0:00,442000,house,3
5/16/08 0:00,490000,house,3
5/17/08 0:00,865000,house,5
5/19/08 0:00,430000,house,4
5/23/08 0:00,444000,house,3
5/27/08 0:00,535000,house,3
5/28/08 0:00,542000,house,4
5/30/08 0:00,357000,house,3
6/2/08 0:00,429000,house,3
6/2/08 0:00,1180000,house,4
6/3/08 0:00,375000,house,4
6/6/08 0:00,526000,house,3
6/6/08 0:00,760000,house,3
6/10/08 0:00,447250,house,3
6/10/08 0:00,492500,house,3
6/10/08 0:00,727500,house,4
6/11/08 0:00,360100,house,4
6/11/08 0:00,750000,house,3
6/13/08 0:00,365000,house,3
6/13/08 0:00,670000,house,4
6/14/08 0:00,419000,house,4
6/14/08 0:00,515000,house,3
6/17/08 0:00,340000,house,3
6/17/08 0:00,600000,house,4
6/18/08 0:00,362000,house,4
6/19/08 0:00,765000,house,5
6/19/08 0:00,770000,house,4
6/20/08 0:00,469000,house,4
6/23/08 0:00,367000,house,3
6/24/08 0:00,465000,house,4
6/25/08 0:00,375000,house,3
6/25/08 0:00,505000,house,4
6/25/08 0:00,605000,house,3
6/26/08 0:00,325000,house,3
6/27/08 0:00,421000,house,3
6/27/08 0:00,550000,house,4
6/27/08 0:00,590000,house,4
6/29/08 0:00,522500,house,4
6/30/08 0:00,480000,house,2
6/30/08 0:00,1165000,house,5
7/1/08 0:00,670000,house,4
7/4/08 0:00,375000,house,3
7/7/08 0:00,392500,house,4
7/7/08 0:00,445000,house,4
7/8/08 0:00,383000,house,3
7/10/08 0:00,418000,house,3
